Selection	View	Channel	Begin Time (s)	End Time (s)	Begin File	Begin Path	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	selec.file	element	gap	song	Indiv	Source	Country	Location	Coor.Lat	Coor.Long	Date	Entered.by	Comments	Male.ID.comment	ovlp.sels	old.selec
11	Spectrogram 1	1	4.531000000	4.674147635	ARAYA-SAL-019.WAV	/Users/phoebe/Desktop/Recordings tmp/Punta Cana/ARAYA-SAL-019.WAV	4.531	5355.8	10755.2	ARAYA-SAL-019.Table.1.selections.txt	k	0.175649669	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	12
12	Spectrogram 1	1	4.920000000	5.063147635	ARAYA-SAL-019.WAV	/Users/phoebe/Desktop/Recordings tmp/Punta Cana/ARAYA-SAL-019.WAV	4.920	7029.9	10092.9	ARAYA-SAL-019.Table.1.selections.txt	l	0.150948935	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	13
13	Spectrogram 1	1	5.343000000	5.530734603	ARAYA-SAL-019.WAV	/Users/phoebe/Desktop/Recordings tmp/Punta Cana/ARAYA-SAL-019.WAV	5.343	4380.9	9596.2	ARAYA-SAL-019.Table.1.selections.txt	m	0.203094931	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	14
14	Spectrogram 1	1	6.191000000	6.294406306	ARAYA-SAL-019.WAV	/Users/phoebe/Desktop/Recordings tmp/Punta Cana/ARAYA-SAL-019.WAV	6.191	3130.4	9501.1	ARAYA-SAL-019.Table.1.selections.txt	n	0.139728455999999	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	18
15	Spectrogram 1	1	6.770000000	6.872219899	ARAYA-SAL-019.WAV	/Users/phoebe/Desktop/Recordings tmp/Punta Cana/ARAYA-SAL-019.WAV	6.770	2087.0	10370.7	ARAYA-SAL-019.Table.1.selections.txt	o	0.15525384	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	19
16	Spectrogram 1	1	7.708000000	7.874614461	ARAYA-SAL-019.WAV	/Users/phoebe/Desktop/Recordings tmp/Punta Cana/ARAYA-SAL-019.WAV	7.708	2087.0	10359.7	ARAYA-SAL-019.Table.1.selections.txt	p	0.151372495	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	20
17	Spectrogram 1	1	7.922000000	8.024487795	ARAYA-SAL-019.WAV	/Users/phoebe/Desktop/Recordings tmp/Punta Cana/ARAYA-SAL-019.WAV	7.922	5426.1	9711.2	ARAYA-SAL-019.Table.1.selections.txt	q	0.104796342	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	21
18	Spectrogram 1	1	8.602000000	8.721787335	ARAYA-SAL-019.WAV	/Users/phoebe/Desktop/Recordings tmp/Punta Cana/ARAYA-SAL-019.WAV	8.602	2555.0	10503.8	ARAYA-SAL-019.Table.1.selections.txt	r	0.112559035	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	22
19	Spectrogram 1	1	8.763000000	8.903626026	ARAYA-SAL-019.WAV	/Users/phoebe/Desktop/Recordings tmp/Punta Cana/ARAYA-SAL-019.WAV	8.763	3962.3	9751.0	ARAYA-SAL-019.Table.1.selections.txt	s	0.147491148	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	24
20	Spectrogram 1	1	9.500000000	9.645494317	ARAYA-SAL-019.WAV	/Users/phoebe/Desktop/Recordings tmp/Punta Cana/ARAYA-SAL-019.WAV	9.500	4365.5	11158.4	ARAYA-SAL-019.Table.1.selections.txt	f	0.155253841	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	26
21	Spectrogram 1	1	9.979000000	10.136227730	ARAYA-SAL-019.WAV	/Users/phoebe/Desktop/Recordings tmp/Punta Cana/ARAYA-SAL-019.WAV	9.979	3537.6	10017.8	ARAYA-SAL-019.Table.1.selections.txt	g	0.159135186	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	27
22	Spectrogram 1	1	10.467000000	10.600760905	ARAYA-SAL-019.WAV	/Users/phoebe/Desktop/Recordings tmp/Punta Cana/ARAYA-SAL-019.WAV	10.467	4638.7	9852.3	ARAYA-SAL-019.Table.1.selections.txt	h	0.182423262	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	28
23	Spectrogram 1	1	10.943000000	11.130734603	ARAYA-SAL-019.WAV	/Users/phoebe/Desktop/Recordings tmp/Punta Cana/ARAYA-SAL-019.WAV	10.943	3890.8	11070.1	ARAYA-SAL-019.Table.1.selections.txt	i	0.15525384	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	29
24	Spectrogram 1	1	11.447000000	11.592631018	ARAYA-SAL-019.WAV	/Users/phoebe/Desktop/Recordings tmp/Punta Cana/ARAYA-SAL-019.WAV	11.447	2734.4	8691.8	ARAYA-SAL-019.Table.1.selections.txt	j	0.13584711	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	30
25	Spectrogram 1	1	11.650000000	11.777427141	ARAYA-SAL-019.WAV	/Users/phoebe/Desktop/Recordings tmp/Punta Cana/ARAYA-SAL-019.WAV	11.650	5798.2	10904.6	ARAYA-SAL-019.Table.1.selections.txt	k	0.135847109999998	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	31
26	Spectrogram 1	1	12.562000000	12.679313875	ARAYA-SAL-019.WAV	/Users/phoebe/Desktop/Recordings tmp/Punta Cana/ARAYA-SAL-019.WAV	12.562	3547.8	10904.6	ARAYA-SAL-019.Table.1.selections.txt	n	0.143609803	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	32
27	Spectrogram 1	1	13.118000000	13.233291222	ARAYA-SAL-019.WAV	/Users/phoebe/Desktop/Recordings tmp/Punta Cana/ARAYA-SAL-019.WAV	13.118	2761.8	10223.7	ARAYA-SAL-019.Table.1.selections.txt	o	0.166897878	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	33
28	Spectrogram 1	1	13.990000000	14.127540405	ARAYA-SAL-019.WAV	/Users/phoebe/Desktop/Recordings tmp/Punta Cana/ARAYA-SAL-019.WAV	13.990	2713.1	10138.6	ARAYA-SAL-019.Table.1.selections.txt	p	0.159135186	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	34
29	Spectrogram 1	1	14.204000000	14.351653670	ARAYA-SAL-019.WAV	/Users/phoebe/Desktop/Recordings tmp/Punta Cana/ARAYA-SAL-019.WAV	14.204	5157.6	9798.2	ARAYA-SAL-019.Table.1.selections.txt	q	0.159135187	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	35
30	Spectrogram 1	1	14.921000000	15.028200610	ARAYA-SAL-019.WAV	/Users/phoebe/Desktop/Recordings tmp/Punta Cana/ARAYA-SAL-019.WAV	14.921	1570.6	10904.6	ARAYA-SAL-019.Table.1.selections.txt	r	0.128084418	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	36
31	Spectrogram 1	1	15.097000000	15.230495099	ARAYA-SAL-019.WAV	/Users/phoebe/Desktop/Recordings tmp/Punta Cana/ARAYA-SAL-019.WAV	15.097	3840.7	9372.7	ARAYA-SAL-019.Table.1.selections.txt	s	0.143609803	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	37
32	Spectrogram 1	1	35.216000000	35.313087345	ARAYA-SAL-019.WAV	/Users/phoebe/Desktop/Recordings tmp/Punta Cana/ARAYA-SAL-019.WAV	35.216	3585.4	9457.8	ARAYA-SAL-019.Table.1.selections.txt	r	0.0905993820000006	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	44
33	Spectrogram 1	1	35.406000000	35.561744282	ARAYA-SAL-019.WAV	/Users/phoebe/Desktop/Recordings tmp/Punta Cana/ARAYA-SAL-019.WAV	35.406	4290.4	7670.5	ARAYA-SAL-019.Table.1.selections.txt	s	0.176724723	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	53
34	Spectrogram 1	1	36.235000000	36.342200610	ARAYA-SAL-019.WAV	/Users/phoebe/Desktop/Recordings tmp/Punta Cana/ARAYA-SAL-019.WAV	36.235	4691.8	10734.4	ARAYA-SAL-019.Table.1.selections.txt	f	0.154354505000001	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	54
35	Spectrogram 1	1	36.819000000	36.986880200	ARAYA-SAL-019.WAV	/Users/phoebe/Desktop/Recordings tmp/Punta Cana/ARAYA-SAL-019.WAV	36.819	3840.7	9713.1	ARAYA-SAL-019.Table.1.selections.txt	g	0.187909830999999	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	55
36	Spectrogram 1	1	37.345000000	37.480517752	ARAYA-SAL-019.WAV	/Users/phoebe/Desktop/Recordings tmp/Punta Cana/ARAYA-SAL-019.WAV	37.345	5117.3	9798.2	ARAYA-SAL-019.Table.1.selections.txt	h	0.143169395000001	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	56
37	Spectrogram 1	1	37.869000000	38.026766935	ARAYA-SAL-019.WAV	/Users/phoebe/Desktop/Recordings tmp/Punta Cana/ARAYA-SAL-019.WAV	37.869	4273.4	9883.3	ARAYA-SAL-019.Table.1.selections.txt	i	0.165539613	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	57
38	Spectrogram 1	1	38.476000000	38.595336528	ARAYA-SAL-019.WAV	/Users/phoebe/Desktop/Recordings tmp/Punta Cana/ARAYA-SAL-019.WAV	38.476	4521.6	10223.7	ARAYA-SAL-019.Table.1.selections.txt	j	0.116325133000004	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	58
39	Spectrogram 1	1	38.638000000	38.737109998	ARAYA-SAL-019.WAV	/Users/phoebe/Desktop/Recordings tmp/Punta Cana/ARAYA-SAL-019.WAV	38.638	5117.3	9798.2	ARAYA-SAL-019.Table.1.selections.txt	k	0.0984289590000031	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	59
40	Spectrogram 1	1	39.143000000	39.270427140	ARAYA-SAL-019.WAV	/Users/phoebe/Desktop/Recordings tmp/Punta Cana/ARAYA-SAL-019.WAV	39.143	6819.5	10138.6	ARAYA-SAL-019.Table.1.selections.txt	l	0.149880460000006	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	60
41	Spectrogram 1	1	39.559000000	39.714744283	ARAYA-SAL-019.WAV	/Users/phoebe/Desktop/Recordings tmp/Punta Cana/ARAYA-SAL-019.WAV	39.559	4947.1	9287.6	ARAYA-SAL-019.Table.1.selections.txt	m	0.18567281	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	61
42	Spectrogram 1	1	40.058000000	40.134860815	ARAYA-SAL-019.WAV	/Users/phoebe/Desktop/Recordings tmp/Punta Cana/ARAYA-SAL-019.WAV	40.058	5117.3	9542.9	ARAYA-SAL-019.Table.1.selections.txt	n	0.116325134	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	62
43	Spectrogram 1	1	40.596000000	40.713313876	ARAYA-SAL-019.WAV	/Users/phoebe/Desktop/Recordings tmp/Punta Cana/ARAYA-SAL-019.WAV	40.596	4351.4	10393.9	ARAYA-SAL-019.Table.1.selections.txt	j	0.164957205	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	76
44	Spectrogram 1	1	40.985000000	41.100291222	ARAYA-SAL-019.WAV	/Users/phoebe/Desktop/Recordings tmp/Punta Cana/ARAYA-SAL-019.WAV	40.985	4521.6	9628.0	ARAYA-SAL-019.Table.1.selections.txt	k	0.114499707	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	77
45	Spectrogram 1	1	41.410000000	41.525291223	ARAYA-SAL-019.WAV	/Users/phoebe/Desktop/Recordings tmp/Punta Cana/ARAYA-SAL-019.WAV	41.410	4776.9	10138.6	ARAYA-SAL-019.Table.1.selections.txt	f	0.149431821	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	78
46	Spectrogram 1	1	41.792000000	41.921449793	ARAYA-SAL-019.WAV	/Users/phoebe/Desktop/Recordings tmp/Punta Cana/ARAYA-SAL-019.WAV	41.792	5287.6	9713.1	ARAYA-SAL-019.Table.1.selections.txt	c	0.151372494	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	79
47	Spectrogram 1	1	42.245000000	42.372427141	ARAYA-SAL-019.WAV	/Users/phoebe/Desktop/Recordings tmp/Punta Cana/ARAYA-SAL-019.WAV	42.245	5032.2	9713.1	ARAYA-SAL-019.Table.1.selections.txt	d	NA	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	80
48	Spectrogram 1	1	371.128666667	371.401724825	ARAYA-SAL-027.WAV	/Users/phoebe/Desktop/Recordings tmp/Punta Cana/ARAYA-SAL-027.WAV	101.090	4936.2	10734.4	ARAYA-SAL-027.Table.1.selections.txt	a	0.465327106999993	NA	2	Own recordins	Dominican Republic	Tree in back of parking lot of Pueblos Indigenas (?), 5 m perch	18.513739	-68.379637	13-Jan-18	PH	Has been singing for a while with long pauses, territory goes back into dense vegetation but trees are not very high, sunny, 20% clouds, 18 degrees C	NA	NA	1
49	Spectrogram 1	1	372.018666667	372.133957890	ARAYA-SAL-027.WAV	/Users/phoebe/Desktop/Recordings tmp/Punta Cana/ARAYA-SAL-027.WAV	101.980	2468.1	11319.1	ARAYA-SAL-027.Table.1.selections.txt	b	0.198336143999995	NA	2	Own recordins	Dominican Republic	Tree in back of parking lot of Pueblos Indigenas (?), 5 m perch	18.513739	-68.379637	13-Jan-18	PH	Has been singing for a while with long pauses, territory goes back into dense vegetation but trees are not very high, sunny, 20% clouds, 18 degrees C	NA	NA	2
50	Spectrogram 1	1	372.207666667	372.391728092	ARAYA-SAL-027.WAV	/Users/phoebe/Desktop/Recordings tmp/Punta Cana/ARAYA-SAL-027.WAV	102.169	4170.2	8766.0	ARAYA-SAL-027.Table.1.selections.txt	c	0.328017469000002	NA	2	Own recordins	Dominican Republic	Tree in back of parking lot of Pueblos Indigenas (?), 5 m perch	18.513739	-68.379637	13-Jan-18	PH	Has been singing for a while with long pauses, territory goes back into dense vegetation but trees are not very high, sunny, 20% clouds, 18 degrees C	NA	NA	3
